"","id","time...1","b1.Rsp","b1.CRsp","b1.RT","time...5","b2.Rsp","b2.CRsp","b2.RT","time...9","b3.Rsp","b3.CRsp","b3.RT","time...13","b4.Rsp","b4.CRsp","b4.RT","time...17","b5.Rsp","b5.CRsp","b5.RT","time...21","b6.Rsp","b6.CRsp","b6.RT"
"27","002.csv","2019_5_24_12_54_43.61",1,0,415,"2019_5_24_13_2_4.014",0,0,0,"2019_5_24_13_9_21.083",0,0,0,"2019_5_24_13_16_40.086",0,0,0,"2019_5_24_13_23_53.172",1,1,1427,"2019_5_24_13_31_6.39",1,0,249
"28","002.csv","2019_5_24_12_54_46.644",1,0,292,"2019_5_24_13_2_7.048",0,0,0,"2019_5_24_13_9_24.118",1,0,674,"2019_5_24_13_16_43.121",0,0,0,"2019_5_24_13_23_56.206",0,0,0,"2019_5_24_13_31_9.425",1,0,454
"29","002.csv","2019_5_24_12_54_49.678",1,0,258,"2019_5_24_13_2_10.082",1,1,758,"2019_5_24_13_9_27.152",1,1,1344,"2019_5_24_13_16_46.155",0,0,0,"2019_5_24_13_23_59.24",0,0,0,"2019_5_24_13_31_12.459",1,1,276
"30","002.csv","2019_5_24_12_54_52.713",1,0,248,"2019_5_24_13_2_13.117",1,0,788,"2019_5_24_13_9_30.186",0,0,0,"2019_5_24_13_16_49.19",1,1,794,"2019_5_24_13_24_2.275",0,0,0,"2019_5_24_13_31_15.493",1,1,210
"31","002.csv","2019_5_24_12_54_55.747",1,1,205,"2019_5_24_13_2_16.151",0,0,0,"2019_5_24_13_9_33.22",0,0,0,"2019_5_24_13_16_52.224",1,0,1104,"2019_5_24_13_24_5.309",1,0,698,"2019_5_24_13_31_18.527",1,0,272
"32","002.csv","2019_5_24_12_54_58.781",1,0,243,"2019_5_24_13_2_19.185",0,0,0,"2019_5_24_13_9_36.255",1,1,761,"2019_5_24_13_16_55.258",0,0,0,"2019_5_24_13_24_8.343",0,0,0,"2019_5_24_13_31_21.562",1,1,269
"33","002.csv","2019_5_24_12_55_1.815",1,0,377,"2019_5_24_13_2_22.219",0,0,0,"2019_5_24_13_9_39.289",0,0,0,"2019_5_24_13_16_58.293",0,0,0,"2019_5_24_13_24_11.378",0,0,0,"2019_5_24_13_31_24.596",1,0,275
"34","002.csv","2019_5_24_12_55_4.85",1,0,294,"2019_5_24_13_2_25.254",0,0,0,"2019_5_24_13_9_42.324",0,0,0,"2019_5_24_13_17_1.327",0,0,0,"2019_5_24_13_24_14.412",1,1,819,"2019_5_24_13_31_27.63",1,1,280
"35","002.csv","2019_5_24_12_55_7.884",1,1,452,"2019_5_24_13_2_28.288",0,0,0,"2019_5_24_13_9_45.358",0,0,0,"2019_5_24_13_17_4.361",0,0,0,"2019_5_24_13_24_17.446",0,0,0,"2019_5_24_13_31_30.665",1,0,278
"36","002.csv","2019_5_24_12_55_10.918",1,0,282,"2019_5_24_13_2_31.322",1,0,766,"2019_5_24_13_9_48.392",0,0,0,"2019_5_24_13_17_7.395",0,0,0,"2019_5_24_13_24_20.48",1,1,943,"2019_5_24_13_31_33.699",1,0,348
"37","002.csv","2019_5_24_12_55_13.953",1,0,280,"2019_5_24_13_2_34.357",1,1,771,"2019_5_24_13_9_51.426",0,0,0,"2019_5_24_13_17_10.43",1,1,850,"2019_5_24_13_24_23.515",0,0,0,"2019_5_24_13_31_36.733",1,1,282
"38","002.csv","2019_5_24_12_55_16.987",1,0,269,"2019_5_24_13_2_37.391",0,0,0,"2019_5_24_13_9_54.46",0,0,0,"2019_5_24_13_17_13.464",0,0,0,"2019_5_24_13_24_26.549",1,0,914,"2019_5_24_13_31_39.767",1,0,296
"39","002.csv","2019_5_24_12_55_20.021",1,0,307,"2019_5_24_13_2_40.425",1,0,735,"2019_5_24_13_9_57.495",0,0,0,"2019_5_24_13_17_16.498",1,1,949,"2019_5_24_13_24_29.583",1,1,784,"2019_5_24_13_31_42.802",1,1,341
"40","002.csv","2019_5_24_12_55_23.055",1,1,329,"2019_5_24_13_2_43.459",0,0,0,"2019_5_24_13_10_0.529",1,0,871,"2019_5_24_13_17_19.532",0,0,0,"2019_5_24_13_24_32.618",1,1,701,"2019_5_24_13_31_45.836",1,0,275
"41","002.csv","2019_5_24_12_55_26.09",1,1,535,"2019_5_24_13_2_46.494",0,0,0,"2019_5_24_13_10_3.563",1,1,932,"2019_5_24_13_17_22.567",0,0,0,"2019_5_24_13_24_35.652",0,0,0,"2019_5_24_13_31_48.87",1,0,273
"42","002.csv","2019_5_24_12_55_29.124",1,0,300,"2019_5_24_13_2_49.528",0,0,0,"2019_5_24_13_10_6.598",1,1,1194,"2019_5_24_13_17_25.601",0,0,0,"2019_5_24_13_24_38.686",1,0,913,"2019_5_24_13_31_51.904",1,0,422
"43","002.csv","2019_5_24_12_55_32.158",1,0,282,"2019_5_24_13_2_52.562",0,0,0,"2019_5_24_13_10_9.632",0,0,0,"2019_5_24_13_17_28.635",0,0,0,"2019_5_24_13_24_41.72",1,1,567,"2019_5_24_13_31_54.939",1,0,284
